,runtime,director,writer,actors
0,1h 43m,['Lee Unkrich'],"['Lee Unkrich', 'Andrew Stanton', 'John Lasseter']","[' (Woody (voice))', ' (Buzz Lightyear (voice))', ' (Jessie (voice))', ' (Mr. Potato Head (voice))', ' (Rex (voice))', ' (Hamm (voice))', ' (Mrs. Potato Head (voice))', ' (Slinky Dog (voice))', ' (Aliens (voice))']"
1,1h 39m,['James Fotopoulos'],[],"[' (Alice)', ' (White Rabbit)']"
2,2h 26m,['David Yates'],[],"[' (Harry Potter)', ' (Hermione Granger)', ' (Ron Weasley)', ' (Dobby (voice))', ' (Bellatrix Lestrange)', ' (Severus Snape)', ' (Lord Voldemort)', ' (Rufus Scrimgeour)', ' (Kreacher (voice))']"
3,2h 28m,['Christopher Nolan'],['Christopher Nolan'],"[' (Dom Cobb)', ' (Arthur)', ' (Saito)', ' (Eames)', ' (Ariadne)', ' (Yusuf)', ' (Robert Fischer, Jr.)', ' (Peter Browning)', ' (Mal Cobb)']"
4,1h 33m,['Mike Mitchell'],"['Josh Klausner', 'Darren Lemke']","[' (Shrek (voice))', ' (Donkey (voice))', ' (Princess Fiona (voice))', ' (Puss in Boots (voice))', ' (Rumpelstiltskin / Priest / Krekraw Ogre (voice))', ' (Queen Lillian (voice))', ' (King Harold (voice))', ' (Brogan (voice))', ' (Gretched (voice))']"
5,2h 4m,['David Slade'],[],"[' (Bella Swan)', ' (Edward Cullen)', ' (Jacob Black)', ' (Victoria)', ' (Jane)', ' (Charlie Swan)', ' (Dr. Carlisle Cullen)', ' (Esme Cullen)', ' (Jasper Hale)']"
6,2h 4m,['Jon Favreau'],[],"[' (Tony Stark)', ' (Pepper Potts)', "" (Lt. Col. James 'Rhodey' Rhodes)"", ' (Natalie Rushman / Natasha Romanoff)', ' (Justin Hammer)', ' (Ivan Vanko)', ' (Nick Fury)', ' (Agent Coulson)', ' (Howard Stark)']"
7,1h 40m,"['Nathan Greno', 'Byron Howard']",[],"[' (Rapunzel (voice))', ' (Flynn Rider (voice))', ' (Mother Gothel (voice))', ' (Stabbington Brother (voice))', ' (Hook Hand Thug (voice))', ' (Vlad (voice))', ' (Captain of the Guard (voice))', ' (Big Nose Thug (voice))', ' (Short Thug (voice))']"
8,1h 35m,"['Chris Renaud', 'Pierre Coffin']",['Sergio Pablos'],"[' (Gru (voice))', ' (Vector (voice))', ' (Margo (voice))', ' (Agnes (voice))', ' (Edith (voice))', ' (Dr. Nefario (voice))', "" (Gru's Mother (voice))"", ' (Mr. Perkins (voice))', ' (Miss Hattie (voice))']"
9,1h 38m,"['Dean DeBlois', 'Chris Sanders']",[],"[' (Hiccup (voice))', ' (Stoick (voice))', ' (Gobber (voice))', ' (Astrid (voice))', ' (Snotlout (voice))', ' (Fishlegs (voice))', ' (Tuffnut (voice))', ' (Ruffnut (voice))', ' (Ack (voice))']"
10,1h 46m,['Louis Leterrier'],[],"[' (Perseus)', ' (Io)', ' (Draco)', ' (Andromeda)', ' (Calibos / Acrisius)', ' (Hades)', ' (Zeus)', ' (Spyros)', ' (Cassiopeia)']"
11,1h 53m,['Michael Apted'],[],"[' (Lucy Pevensie)', ' (Edmund Pevensie)', ' (Caspian)', ' (Eustace Scrubb)', ' (Susan Pevensie)', ' (Peter Pevensie)', ' (Reepicheep (Voice))', ' (Aslan (voice))', ' (White Witch)']"
12,1h 58m,['Tom Hooper'],['David Seidler'],"[' (King George VI)', ' (Lionel Logue)', ' (Queen Elizabeth)', ' (King Edward VIII)', ' (Winston Churchill)', ' (King George V)', ' (Myrtle Logue)', ' (Archbishop Cosmo Lang)', ' (Princess Elizabeth)']"
13,2h 5m,['Joseph Kosinski'],"['Adam Horowitz', 'Edward Kitsis']","[' (Kevin Flynn / Clu)', ' (Sam Flynn)', ' (Quorra)', ' (Alan Bradley / Tron)', ' (Jarvis)', ' (Gem)', ' (Castor / Zuse)', ' (Siren #2)', ' (Siren #3)']"
14,2h 20m,['Harald Zwart'],['Robert Mark Kamen'],"[' (Dre Parker)', ' (Mr. Han)', ' (Sherry Parker)', ' (Meiying)', ' (Cheng)', ' (Master Li)', "" (Meiying's Dad)"", "" (Meiying's Mom)"", ' (Mrs. Po)']"
15,1h 49m,['Darren Aronofsky'],['Andres Heinz'],"[' (Nina Sayers / The Swan Queen)', ' (Lily / The Black Swan)', ' (Thomas Leroy / The Gentleman)', ' (Erica Sayers / The Queen)', ' (Beth Macintyre / The Dying Swan)', ' (David Moreau / The Prince)', ' (Veronica / Little Swan)', ' (Galina / Little Swan)', ' (Madeline / Little Swan)']"
